YY|一起看,#genre#
 笑傲江湖-电视剧,http://127.0.0.1:35456/yy/1354936128
 风味原产地潮汕,http://127.0.0.1:35456/yy/1382745178
 俺娘田小草,http://127.0.0.1:35456/yy/1382741638
 国产动作电影,http://127.0.0.1:35456/yy/1382736858
 热门喜剧,http://127.0.0.1:35456/yy/1354931495
 笑傲江湖 第2季,http://127.0.0.1:35456/yy/1382736914
 洪大哥系列,http://127.0.0.1:35456/yy/1354888743
 周星星系列,http://127.0.0.1:35456/yy/1354888671
 娘亲舅大,http://127.0.0.1:35456/yy/1354932360
 本山快乐营,http://127.0.0.1:35456/yy/1382736852
 外星人到地球--超能疯人院,http://127.0.0.1:35456/yy/1354930945
 学生兵,http://127.0.0.1:35456/yy/1354658003
 保护我家蓉儿,http://127.0.0.1:35456/yy/1370293254
 X战警系列-国外科幻片,http://127.0.0.1:35456/yy/1382735585
 萌鸡小队S1-国漫,http://127.0.0.1:35456/yy/1382736904
 动作大片,http://127.0.0.1:35456/yy/1354888739
 法证先锋Ⅳ,http://127.0.0.1:35456/yy/1354932426
 笑傲江湖 第1季,http://127.0.0.1:35456/yy/1382749896
 国外科幻,http://127.0.0.1:35456/yy/1382736800
 漫威超级英雄系列,http://127.0.0.1:35456/yy/1354932402
 二号交通站,http://127.0.0.1:35456/yy/1354930965
 超炫科幻大片,http://127.0.0.1:35456/yy/1382736840
 狂飙,http://127.0.0.1:35456/yy/1382754187
 猩球崛起-怪兽片合集,http://127.0.0.1:35456/yy/1354930181
 最美的青春,http://127.0.0.1:35456/yy/1382851530
 缺宅男女-精彩港剧,http://127.0.0.1:35456/yy/1382745088
 末日系列-外国电影合集,http://127.0.0.1:35456/yy/1354889019
 野性欧洲,http://127.0.0.1:35456/yy/1354926622
 国内动作大片,http://127.0.0.1:35456/yy/1382745176
 法外风云,http://127.0.0.1:35456/yy/1382736805
 溏心风暴之家好月圆,http://127.0.0.1:35456/yy/1354888747
 美国惊险动作大片-饥饿游戏全季,http://127.0.0.1:35456/yy/1354932365
 毒液：致命守护者,http://127.0.0.1:35456/yy/1382745095
 不用加班真开心,http://127.0.0.1:35456/yy/1354930924
 小米粒Mili,http://127.0.0.1:35456/yy/1382736842
 国内动作大片,http://127.0.0.1:35456/yy/1382749917
 宣萱主演-老婆大人,http://127.0.0.1:35456/yy/1382736920
 重生之超级赛亚人,http://127.0.0.1:35456/yy/1354936124
 巾帼枭雄之义海豪情,http://127.0.0.1:35456/yy/1382736859
 名媛望族-精彩港剧,http://127.0.0.1:35456/yy/1354932431
 YY用户,http://127.0.0.1:35456/yy/85042287
 神厨小福贵,http://127.0.0.1:35456/yy/1382736860
 唐朝诡事录好24h,http://127.0.0.1:35456/yy/1353913646
 大唐双龙传,http://127.0.0.1:35456/yy/1354930979
 Lisa丽莎,http://127.0.0.1:35456/yy/1382736807
 回家的诱惑,http://127.0.0.1:35456/yy/1354658043
 高分港剧合集,http://127.0.0.1:35456/yy/1382735542
 国产喜剧,http://127.0.0.1:35456/yy/1382735584
 抗日神片，燃爆抗战热血魂,http://127.0.0.1:35456/yy/1354926600
 国外高分大片,http://127.0.0.1:35456/yy/1382736867
 国外黑色喜剧：冷幽默小剧场,http://127.0.0.1:35456/yy/1382745175
 国产家庭电视剧-如果岁月可回头,http://127.0.0.1:35456/yy/1382736883
 国外动作大片,http://127.0.0.1:35456/yy/1382735540
 妖神记之黑狱篇,http://127.0.0.1:35456/yy/1382745173
 超燃科幻大片：明日边缘,http://127.0.0.1:35456/yy/1382736835
 百家讲坛-红楼梦篇,http://127.0.0.1:35456/yy/1382741639
 惊险刺激！国内最新战争大片,http://127.0.0.1:35456/yy/1382745189
 你爱看的抗日大片,http://127.0.0.1:35456/yy/1354936160
 当旺爸爸-港剧,http://127.0.0.1:35456/yy/1354936208
 鸣人和九尾的故事,http://127.0.0.1:35456/yy/1355336008
 百家讲坛-之女皇武则天,http://127.0.0.1:35456/yy/1354889015
 欢乐集结号58-70,http://127.0.0.1:35456/yy/1382745119
 什么会让你快乐,http://127.0.0.1:35456/yy/54886912
 一分钟学道菜,http://127.0.0.1:35456/yy/1382736901
 动物世界-领略原始野性,http://127.0.0.1:35456/yy/1382743138
 港片教你追女仔—最佳损友,http://127.0.0.1:35456/yy/1382736917
 太空科幻巨制-星际旅行,http://127.0.0.1:35456/yy/1382736903
 超级英雄系列电影,http://127.0.0.1:35456/yy/1382736863
 24小时循环播电视剧,http://127.0.0.1:35456/yy/53320802
 揭秘！经典传奇背后的未解之谜,http://127.0.0.1:35456/yy/1382736912
 奥斯卡战争大片,http://127.0.0.1:35456/yy/1354932397
 长安汽车UNI-T直播,http://127.0.0.1:35456/yy/1349602814
 太空生命？高分科幻电影开播,http://127.0.0.1:35456/yy/1382851586
 地球上的地狱,http://127.0.0.1:35456/yy/1382736918
 史诗级战争大片,http://127.0.0.1:35456/yy/1382745092
 9.8分！这部纪录片封神了,http://127.0.0.1:35456/yy/1382736825
 能耐大了第1季,http://127.0.0.1:35456/yy/1354930195
 宋小宝春晚小品合集,http://127.0.0.1:35456/yy/1382736866
 憨豆先生,http://127.0.0.1:35456/yy/1354930189
 超治愈！奇趣动物园,http://127.0.0.1:35456/yy/1382735545
 王朝-自然-纪录片,http://127.0.0.1:35456/yy/1354930927
 致敬星爷致敬经典,http://127.0.0.1:35456/yy/1354889048
 体验另一种生活！,http://127.0.0.1:35456/yy/1354936229
 机动步队,http://127.0.0.1:35456/yy/1354932371
 众多神仙齐上阵-封神榜,http://127.0.0.1:35456/yy/1382735625
 笑到不行--欢乐集结号,http://127.0.0.1:35456/yy/1382749913
 能耐大了！德云社演技爆棚,http://127.0.0.1:35456/yy/1354930915
 白鹿原-国内经典战争片,http://127.0.0.1:35456/yy/1354931488
 许光汉-关于我和鬼变成家人的那件事,http://127.0.0.1:35456/yy/1354926671
 一起来笑吧,http://127.0.0.1:35456/yy/1454859415
 值得n刷的律政俏佳人,http://127.0.0.1:35456/yy/1382745099
 金牌喜剧班,http://127.0.0.1:35456/yy/1354889009
 小鱼干,http://127.0.0.1:35456/yy/1382736816
 喜剧闹翻天,http://127.0.0.1:35456/yy/1382735548
 万里走单骑-解密世界遗产的互动综艺,http://127.0.0.1:35456/yy/1382736853
 1920年代经典电影,http://127.0.0.1:35456/yy/1356363810
 赵本山爆笑小品2,http://127.0.0.1:35456/yy/1354936217
 都市佳人,http://127.0.0.1:35456/yy/1382736865
 缺宅男女,http://127.0.0.1:35456/yy/1354930937
 深夜惊悚动作大片,http://127.0.0.1:35456/yy/1382745110
 传奇之王-影视剧,http://127.0.0.1:35456/yy/1354926735
 超越种族的爱恋-暮光之城,http://127.0.0.1:35456/yy/1382745179
 国内科幻片来袭,http://127.0.0.1:35456/yy/1354930821
 解放：苏联战争巨片,http://127.0.0.1:35456/yy/1354936249
 宇宙护卫队--国漫,http://127.0.0.1:35456/yy/1382736837
 丛林敢死队-国内电影,http://127.0.0.1:35456/yy/1354936214
 1930年代经典电影,http://127.0.0.1:35456/yy/1356363815
 吐槽大会 第2季,http://127.0.0.1:35456/yy/1354936145
 极品芝麻官,http://127.0.0.1:35456/yy/1354930984
 古装武打港剧-肝胆昆仑,http://127.0.0.1:35456/yy/1354936116
 M恐怖片正在直播,http://127.0.0.1:35456/yy/1352956876
 金庸经典-射雕英雄传,http://127.0.0.1:35456/yy/1354889042
 燃情科幻--X战警,http://127.0.0.1:35456/yy/1382736857
 环球追捕，尖峰时刻带你狂飙全球,http://127.0.0.1:35456/yy/1354658051
 喨剑电视剧,http://127.0.0.1:35456/yy/1453810838
 欢迎光临,http://127.0.0.1:35456/yy/1355532933
 开心麻花出品-日不落酒店,http://127.0.0.1:35456/yy/1354936210
 远去的飞鹰-影视剧,http://127.0.0.1:35456/yy/1354930912
 漫威电影-神奇女侠,http://127.0.0.1:35456/yy/1354933556
 国产喜剧大片,http://127.0.0.1:35456/yy/1382745113
 钟馗传说,http://127.0.0.1:35456/yy/1382736839
 战争大片,http://127.0.0.1:35456/yy/1382736819
 鹿鼎记,http://127.0.0.1:35456/yy/1460463356
 X战警系列电影,http://127.0.0.1:35456/yy/1382736893
 本山快乐营2,http://127.0.0.1:35456/yy/1382736718
 烧脑悬疑电影,http://127.0.0.1:35456/yy/1382735571
 大侦探霍桑,http://127.0.0.1:35456/yy/1382737886
 燃情无限流—罗拉快跑,http://127.0.0.1:35456/yy/1354936136
 探案悬疑经典--狄仁杰,http://127.0.0.1:35456/yy/1354930903
 港剧经典-寒山潜龙,http://127.0.0.1:35456/yy/1382745103
 正阳门下 正在直播,http://127.0.0.1:35456/yy/1453059740
 拆弹专家-刘德华,http://127.0.0.1:35456/yy/1382745111
 十亿少女的噩梦,http://127.0.0.1:35456/yy/1354921392
 港片-神探,http://127.0.0.1:35456/yy/1382736872
 经典搞笑影片,http://127.0.0.1:35456/yy/1382749878
 怪医文三块-影视剧,http://127.0.0.1:35456/yy/1354936154
 犬夜叉，半妖四魂之玉之路,http://127.0.0.1:35456/yy/1509038705
 国外经典—小鬼当家,http://127.0.0.1:35456/yy/1354658064
 甜蜜青春-致我们暖暖的小时光,http://127.0.0.1:35456/yy/1382736874
 降服魔女的手段-泰剧,http://127.0.0.1:35456/yy/1354932405
 漫威经典-奇异博士,http://127.0.0.1:35456/yy/1382736843
 心理追凶-烧脑港剧,http://127.0.0.1:35456/yy/1354936207
 古往今来-秦皇汉帝的传奇,http://127.0.0.1:35456/yy/1354936228
 TVB笑料王，翻生武林必看港剧,http://127.0.0.1:35456/yy/1382749910
 向英雄致敬！国内战争片精选,http://127.0.0.1:35456/yy/1382745124
 岳云鹏-屌丝抱得美人归,http://127.0.0.1:35456/yy/1382736882
 天龙八部（国语版）,http://127.0.0.1:35456/yy/1382736855
 经典喜剧-三枪拍案惊奇,http://127.0.0.1:35456/yy/1382736849
 电影黄飞鸿-燃爆武侠魂,http://127.0.0.1:35456/yy/1382736841
 脑洞大开的精彩科幻片,http://127.0.0.1:35456/yy/1382736723
 笑到发晕-李茶的姑妈,http://127.0.0.1:35456/yy/1354930816
 国内科幻,http://127.0.0.1:35456/yy/1354936170
 唐伯虎点秋香-国内爆笑喜剧,http://127.0.0.1:35456/yy/1382851137
 星球大战燃爆来袭！,http://127.0.0.1:35456/yy/1354932407
 民国恩仇-兰花劫,http://127.0.0.1:35456/yy/1354932409
 欢乐集结号4,http://127.0.0.1:35456/yy/1382736889
 探寻诗歌的前世今生-诗中国,http://127.0.0.1:35456/yy/1354936178
 最抚人心,http://127.0.0.1:35456/yy/1382745181
 辉煌或疯狂-韩剧,http://127.0.0.1:35456/yy/1382749902
 盗暮惊悚妖魔,http://127.0.0.1:35456/yy/1382765507
 战争大片,http://127.0.0.1:35456/yy/1382735556
 金星脱口秀：我敢说你敢听吗,http://127.0.0.1:35456/yy/1382735552
 TVB-团圆,http://127.0.0.1:35456/yy/1382749944
 港剧经典-我家无难事,http://127.0.0.1:35456/yy/1382736715
 陈赫张颂文主演-一路向前,http://127.0.0.1:35456/yy/1382749912
 卡梅隆科幻经典大片-终结者,http://127.0.0.1:35456/yy/1354930887
 你最爱的小龙女-神雕侠侣,http://127.0.0.1:35456/yy/1354926637
 名不虚传-韩剧,http://127.0.0.1:35456/yy/1382749904
 破次元大作-蝙蝠侠大战超人,http://127.0.0.1:35456/yy/1354932441
 洪金宝福星系列,http://127.0.0.1:35456/yy/1382851602
 飞虎之雷霆极战,http://127.0.0.1:35456/yy/1382736869
 陪你一起看好剧,http://127.0.0.1:35456/yy/1354932359
 国外巨制-我的野蛮女友,http://127.0.0.1:35456/yy/1382749911
 如沐春风,http://127.0.0.1:35456/yy/1382736810
 阳光之下,http://127.0.0.1:35456/yy/1354936157
 林允张新成领衔-蜗牛与黄鹂鸟,http://127.0.0.1:35456/yy/1382851148
 狂飙,http://127.0.0.1:35456/yy/1382627144
 封神榜,http://127.0.0.1:35456/yy/1382788850
 沉睡魔咒,http://127.0.0.1:35456/yy/1354930894
 烧脑经典-决胜法庭,http://127.0.0.1:35456/yy/1382745190
 经典港剧-潮拜武当,http://127.0.0.1:35456/yy/1354930967
 国风巨制-妖猫传,http://127.0.0.1:35456/yy/1382736820
 仙灵儿,http://127.0.0.1:35456/yy/1382736887
 爆笑来袭-小品欢乐集结号,http://127.0.0.1:35456/yy/1382735558
 史诗级科幻电影-阿凡达,http://127.0.0.1:35456/yy/1382735577
 迎财神-暴走财神,http://127.0.0.1:35456/yy/1354936238
 国内奇幻电影大片,http://127.0.0.1:35456/yy/1382735627
 国外战争大片！看到过瘾,http://127.0.0.1:35456/yy/1354930957
 老妖恐鬼片,http://127.0.0.1:35456/yy/1354952229
 张子枫彭昱畅-快把我哥带走,http://127.0.0.1:35456/yy/1354936231
 武术喜剧--醉拳,http://127.0.0.1:35456/yy/1382735581
 港剧迷必追！《收规华》烧脑来袭,http://127.0.0.1:35456/yy/1382741640
 精彩玄幻电影,http://127.0.0.1:35456/yy/1382688400
 胡杏儿出演港剧-巴不得爸爸,http://127.0.0.1:35456/yy/1382749890
 倚天屠龙记,http://127.0.0.1:35456/yy/1382818085
 丁大命,http://127.0.0.1:35456/yy/1382735579
 抗战剧,http://127.0.0.1:35456/yy/1353852605
 国产抗战神剧合集,http://127.0.0.1:35456/yy/1382749950
 非典型古装喜剧-足秤老婆八两夫,http://127.0.0.1:35456/yy/1382749905
 内部测试频道请勿封禁,http://127.0.0.1:35456/yy/1352488363
 爆笑小品！开心麻花街,http://127.0.0.1:35456/yy/1354926643
 女医明妃传,http://127.0.0.1:35456/yy/1382736861
 博物馆奇妙夜,http://127.0.0.1:35456/yy/1354936221
 经典之作-复仇者,http://127.0.0.1:35456/yy/1354932375
 爆笑-神偷大师,http://127.0.0.1:35456/yy/1382745122
 惊悚，恐怖欢迎点播,http://127.0.0.1:35456/yy/67857780
 铭记的岁月-老人与海,http://127.0.0.1:35456/yy/1354936195
 【武林客栈】,http://127.0.0.1:35456/yy/1382773728
 妖魔道,http://127.0.0.1:35456/yy/1382749953
 妖神记-全集,http://127.0.0.1:35456/yy/1382735551
 tvb经典--街坊财爷,http://127.0.0.1:35456/yy/1382735566
 神医喜来乐,http://127.0.0.1:35456/yy/1458239444
 看国家珍稀物种！国家自然纪录片,http://127.0.0.1:35456/yy/1382736913
 经典港片犯罪电影-寒战,http://127.0.0.1:35456/yy/1382735559
 闫妮主演-疯狂72小时,http://127.0.0.1:35456/yy/1354936169
 少年派的奇幻漂流,http://127.0.0.1:35456/yy/1354936199
 来一碗小鲜肉,http://127.0.0.1:35456/yy/1382861117
 笑到颤抖，重温超时空同居,http://127.0.0.1:35456/yy/1382735561
 胡桃夹子·魔境冒险,http://127.0.0.1:35456/yy/1382741637
 蜘蛛侠1：超凡蜘蛛侠,http://127.0.0.1:35456/yy/1382749940
 精彩喜剧-笑嗷喜剧人,http://127.0.0.1:35456/yy/1382736844
 悬疑剧-河神,http://127.0.0.1:35456/yy/1353413683
 云享健康,http://127.0.0.1:35456/yy/1382736896
 治愈心灵-解忧杂货店,http://127.0.0.1:35456/yy/1382745090
 倚天屠龙记,http://127.0.0.1:35456/yy/1457793883
 一条狗的使命,http://127.0.0.1:35456/yy/1382736873
 当时无法为你写的那首歌,http://127.0.0.1:35456/yy/1414922050
 港片剧场,http://127.0.0.1:35456/yy/1355495186
